y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,1538.0,22.0,21.0,21.0,0.0136540962288686,1.0,0.9545454545454546,0,,30.0,train,mean
1,1483.0,83.0,82.0,82.0,0.0552933243425488,1.0,0.9879518072289156,0,,30.0,train,mean
2,1473.0,85.0,81.0,81.0,0.054989816700611,1.0,0.9529411764705882,0,,30.0,train,mean
3,1478.0,68.0,68.0,68.0,0.0460081190798376,1.0,1.0,0,,30.0,train,mean
4,1528.0,75.0,73.0,73.0,0.0477748691099476,1.0,0.9733333333333334,0,,30.0,train,mean
5,1401.0,150.0,144.0,144.0,0.1027837259100642,1.0,0.96,0,,30.0,train,mean
6,1521.0,13.0,13.0,13.0,0.0085470085470085,1.0,1.0,0,,30.0,train,mean
7,1508.0,58.0,55.0,55.0,0.036472148541114,1.0,0.9482758620689656,0,,30.0,train,mean
8,1497.0,30.0,30.0,30.0,0.0200400801603206,1.0,1.0,0,,30.0,train,mean
9,1521.0,29.0,29.0,29.0,0.0190664036817883,1.0,1.0,0,,30.0,train,mean
10,1447.0,29.0,29.0,29.0,0.0200414651002073,1.0,1.0,0,,30.0,train,mean
11,1485.0,27.0,26.0,26.0,0.0175084175084175,1.0,0.9629629629629628,0,,30.0,train,mean
12,1478.0,13.0,13.0,13.0,0.0087956698240866,1.0,1.0,0,,30.0,train,mean
13,1477.0,8.0,8.0,8.0,0.0054163845633039,1.0,1.0,0,,30.0,train,mean
14,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,30.0,train,mean
15,1460.0,10.0,10.0,10.0,0.0068493150684931,1.0,1.0,0,,30.0,train,mean
16,1455.0,9.0,9.0,9.0,0.0061855670103092,1.0,1.0,0,,30.0,train,mean
17,1478.0,1.0,1.0,1.0,0.0006765899864682,1.0,1.0,0,,30.0,train,mean
18,1563.0,28.0,28.0,28.0,0.0179142674344209,1.0,1.0,0,,30.0,train,mean
19,1504.0,78.0,60.0,60.0,0.0398936170212766,1.0,0.7692307692307693,0,,30.0,train,mean
20,1496.0,77.0,69.0,69.0,0.0461229946524064,1.0,0.8961038961038961,0,,30.0,train,mean
21,1455.0,43.0,42.0,42.0,0.0288659793814433,1.0,0.9767441860465116,0,,30.0,train,mean
22,1527.0,19.0,18.0,18.0,0.0117878192534381,1.0,0.9473684210526316,0,,30.0,train,mean
23,1467.0,27.0,27.0,27.0,0.0184049079754601,1.0,1.0,0,,30.0,train,mean
24,1486.0,23.0,23.0,23.0,0.0154777927321668,1.0,1.0,0,,30.0,train,mean
25,1503.0,56.0,55.0,55.0,0.0365934797072521,1.0,0.9821428571428572,0,,30.0,train,mean
26,1532.0,16.0,16.0,16.0,0.010443864229765,1.0,1.0,0,,30.0,train,mean
27,1519.0,28.0,24.0,24.0,0.0157998683344305,1.0,0.8571428571428571,0,,30.0,train,mean
28,1496.0,30.0,30.0,30.0,0.0200534759358288,1.0,1.0,0,,30.0,train,mean
29,1496.0,17.0,17.0,17.0,0.0113636363636363,1.0,1.0,0,,30.0,train,mean
30,1508.0,12.0,11.0,11.0,0.0072944297082228,1.0,0.9166666666666666,0,,30.0,train,mean
31,1472.0,62.0,62.0,62.0,0.0421195652173913,1.0,1.0,0,,30.0,train,mean
32,1473.0,15.0,15.0,15.0,0.010183299389002,1.0,1.0,0,,30.0,train,mean
33,1464.0,145.0,128.0,128.0,0.087431693989071,1.0,0.8827586206896552,0,,30.0,train,mean
34,1519.0,97.0,87.0,87.0,0.0572745227123107,1.0,0.8969072164948454,0,,30.0,train,mean
35,1492.0,11.0,11.0,11.0,0.0073726541554959,1.0,1.0,0,,30.0,train,mean
36,1484.0,119.0,98.0,98.0,0.0660377358490566,1.0,0.8235294117647058,0,,30.0,train,mean
37,1475.0,100.0,73.0,73.0,0.0494915254237288,1.0,0.73,0,,30.0,train,mean
38,1401.0,93.0,82.0,82.0,0.0585296216987865,1.0,0.8817204301075269,0,,30.0,train,mean
39,1541.0,111.0,95.0,95.0,0.0616482803374432,1.0,0.8558558558558559,0,,30.0,train,mean
40,1489.0,21.0,21.0,21.0,0.0141034251175285,1.0,1.0,0,,30.0,train,mean
41,1461.0,23.0,22.0,22.0,0.0150581793292265,1.0,0.9565217391304348,0,,30.0,train,mean
42,1432.0,22.0,22.0,22.0,0.0153631284916201,1.0,1.0,0,,30.0,train,mean
all,63968.0,1983.0,1828.0,1828.0,0.028576788394197,1.0,0.9218356026222896,0,,30.0,train,mean
0,1538.0,22.0,21.0,21.0,0.0136540962288686,1.0,0.9545454545454546,1,,30.0,train,mean
1,1483.0,83.0,82.0,82.0,0.0552933243425488,1.0,0.9879518072289156,1,,30.0,train,mean
2,1473.0,85.0,81.0,81.0,0.054989816700611,1.0,0.9529411764705882,1,,30.0,train,mean
3,1478.0,68.0,68.0,68.0,0.0460081190798376,1.0,1.0,1,,30.0,train,mean
4,1528.0,75.0,73.0,73.0,0.0477748691099476,1.0,0.9733333333333334,1,,30.0,train,mean
5,1401.0,150.0,144.0,144.0,0.1027837259100642,1.0,0.96,1,,30.0,train,mean
6,1521.0,13.0,13.0,13.0,0.0085470085470085,1.0,1.0,1,,30.0,train,mean
7,1508.0,58.0,55.0,55.0,0.036472148541114,1.0,0.9482758620689656,1,,30.0,train,mean
8,1497.0,30.0,30.0,30.0,0.0200400801603206,1.0,1.0,1,,30.0,train,mean
9,1521.0,29.0,29.0,29.0,0.0190664036817883,1.0,1.0,1,,30.0,train,mean
10,1447.0,29.0,29.0,29.0,0.0200414651002073,1.0,1.0,1,,30.0,train,mean
11,1485.0,27.0,26.0,26.0,0.0175084175084175,1.0,0.9629629629629628,1,,30.0,train,mean
12,1478.0,13.0,13.0,13.0,0.0087956698240866,1.0,1.0,1,,30.0,train,mean
13,1477.0,8.0,8.0,8.0,0.0054163845633039,1.0,1.0,1,,30.0,train,mean
14,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,30.0,train,mean
15,1460.0,10.0,10.0,10.0,0.0068493150684931,1.0,1.0,1,,30.0,train,mean
16,1455.0,9.0,9.0,9.0,0.0061855670103092,1.0,1.0,1,,30.0,train,mean
17,1478.0,1.0,1.0,1.0,0.0006765899864682,1.0,1.0,1,,30.0,train,mean
18,1563.0,28.0,28.0,28.0,0.0179142674344209,1.0,1.0,1,,30.0,train,mean
19,1504.0,78.0,60.0,60.0,0.0398936170212766,1.0,0.7692307692307693,1,,30.0,train,mean
20,1496.0,77.0,69.0,69.0,0.0461229946524064,1.0,0.8961038961038961,1,,30.0,train,mean
21,1455.0,43.0,42.0,42.0,0.0288659793814433,1.0,0.9767441860465116,1,,30.0,train,mean
22,1527.0,19.0,18.0,18.0,0.0117878192534381,1.0,0.9473684210526316,1,,30.0,train,mean
23,1467.0,27.0,27.0,27.0,0.0184049079754601,1.0,1.0,1,,30.0,train,mean
24,1486.0,23.0,23.0,23.0,0.0154777927321668,1.0,1.0,1,,30.0,train,mean
25,1503.0,56.0,55.0,55.0,0.0365934797072521,1.0,0.9821428571428572,1,,30.0,train,mean
26,1532.0,16.0,16.0,16.0,0.010443864229765,1.0,1.0,1,,30.0,train,mean
27,1519.0,28.0,24.0,24.0,0.0157998683344305,1.0,0.8571428571428571,1,,30.0,train,mean
28,1496.0,30.0,30.0,30.0,0.0200534759358288,1.0,1.0,1,,30.0,train,mean
29,1496.0,17.0,17.0,17.0,0.0113636363636363,1.0,1.0,1,,30.0,train,mean
30,1508.0,12.0,11.0,11.0,0.0072944297082228,1.0,0.9166666666666666,1,,30.0,train,mean
31,1472.0,62.0,62.0,62.0,0.0421195652173913,1.0,1.0,1,,30.0,train,mean
32,1473.0,15.0,15.0,15.0,0.010183299389002,1.0,1.0,1,,30.0,train,mean
33,1464.0,145.0,128.0,128.0,0.087431693989071,1.0,0.8827586206896552,1,,30.0,train,mean
34,1519.0,97.0,87.0,87.0,0.0572745227123107,1.0,0.8969072164948454,1,,30.0,train,mean
35,1492.0,11.0,11.0,11.0,0.0073726541554959,1.0,1.0,1,,30.0,train,mean
36,1484.0,119.0,98.0,98.0,0.0660377358490566,1.0,0.8235294117647058,1,,30.0,train,mean
37,1475.0,100.0,73.0,73.0,0.0494915254237288,1.0,0.73,1,,30.0,train,mean
