y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,1538.0,22.0,4.0,4.0,0.0026007802340702,1.0,0.1818181818181818,0,top_third,16.0,train,relu
1,1483.0,101.0,25.0,25.0,0.0168577208361429,1.0,0.2475247524752475,0,top_third,16.0,train,relu
2,1473.0,88.0,10.0,10.0,0.0067888662593346,1.0,0.1136363636363636,0,top_third,16.0,train,relu
3,1478.0,87.0,13.0,13.0,0.0087956698240866,1.0,0.1494252873563218,0,top_third,16.0,train,relu
4,1528.0,75.0,17.0,17.0,0.0111256544502617,1.0,0.2266666666666666,0,top_third,16.0,train,relu
5,1401.0,144.0,31.0,31.0,0.0221270521056388,1.0,0.2152777777777778,0,top_third,16.0,train,relu
6,1521.0,23.0,5.0,5.0,0.0032873109796186,1.0,0.217391304347826,0,top_third,16.0,train,relu
7,1508.0,42.0,6.0,6.0,0.0039787798408488,1.0,0.1428571428571428,0,top_third,16.0,train,relu
8,1497.0,85.0,11.0,11.0,0.0073480293921175,1.0,0.1294117647058823,0,top_third,16.0,train,relu
9,1521.0,36.0,8.0,8.0,0.0052596975673898,1.0,0.2222222222222222,0,top_third,16.0,train,relu
10,1447.0,34.0,8.0,8.0,0.0055286800276434,1.0,0.2352941176470588,0,top_third,16.0,train,relu
11,1485.0,42.0,15.0,15.0,0.0101010101010101,1.0,0.3571428571428571,0,top_third,16.0,train,relu
12,1478.0,13.0,3.0,3.0,0.0020297699594046,1.0,0.2307692307692307,0,top_third,16.0,train,relu
13,1477.0,12.0,7.0,7.0,0.0047393364928909,1.0,0.5833333333333334,0,top_third,16.0,train,relu
14,1485.0,1.0,1.0,1.0,0.0006734006734006,1.0,1.0,0,top_third,16.0,train,relu
15,1460.0,22.0,8.0,8.0,0.0054794520547945,1.0,0.3636363636363636,0,top_third,16.0,train,relu
16,1455.0,21.0,5.0,5.0,0.0034364261168384,1.0,0.238095238095238,0,top_third,16.0,train,relu
17,1478.0,6.0,2.0,2.0,0.0013531799729364,1.0,0.3333333333333333,0,top_third,16.0,train,relu
18,1563.0,42.0,17.0,17.0,0.0108765195137555,1.0,0.4047619047619047,0,top_third,16.0,train,relu
19,1504.0,79.0,32.0,32.0,0.0212765957446808,1.0,0.4050632911392405,0,top_third,16.0,train,relu
20,1496.0,85.0,37.0,37.0,0.0247326203208556,1.0,0.4352941176470588,0,top_third,16.0,train,relu
21,1455.0,55.0,27.0,27.0,0.0185567010309278,1.0,0.4909090909090909,0,top_third,16.0,train,relu
22,1527.0,30.0,10.0,10.0,0.0065487884741322,1.0,0.3333333333333333,0,top_third,16.0,train,relu
23,1467.0,46.0,21.0,21.0,0.0143149284253578,1.0,0.4565217391304347,0,top_third,16.0,train,relu
24,1486.0,30.0,15.0,15.0,0.0100942126514131,1.0,0.5,0,top_third,16.0,train,relu
25,1503.0,62.0,22.0,22.0,0.0146373918829008,1.0,0.3548387096774194,0,top_third,16.0,train,relu
26,1532.0,23.0,7.0,7.0,0.0045691906005221,1.0,0.3043478260869565,0,top_third,16.0,train,relu
27,1519.0,32.0,11.0,11.0,0.0072416063199473,1.0,0.34375,0,top_third,16.0,train,relu
28,1496.0,41.0,13.0,13.0,0.0086898395721925,1.0,0.3170731707317073,0,top_third,16.0,train,relu
29,1496.0,30.0,10.0,10.0,0.0066844919786096,1.0,0.3333333333333333,0,top_third,16.0,train,relu
30,1508.0,11.0,1.0,1.0,0.0006631299734748,1.0,0.0909090909090909,0,top_third,16.0,train,relu
31,1472.0,85.0,32.0,32.0,0.0217391304347826,1.0,0.3764705882352941,0,top_third,16.0,train,relu
32,1473.0,15.0,3.0,3.0,0.0020366598778004,1.0,0.2,0,top_third,16.0,train,relu
33,1464.0,148.0,21.0,21.0,0.0143442622950819,1.0,0.1418918918918918,0,top_third,16.0,train,relu
34,1519.0,117.0,16.0,16.0,0.010533245556287,1.0,0.1367521367521367,0,top_third,16.0,train,relu
35,1492.0,31.0,6.0,6.0,0.0040214477211796,1.0,0.1935483870967742,0,top_third,16.0,train,relu
36,1484.0,103.0,26.0,26.0,0.0175202156334231,1.0,0.2524271844660194,0,top_third,16.0,train,relu
37,1475.0,109.0,42.0,42.0,0.0284745762711864,1.0,0.3853211009174312,0,top_third,16.0,train,relu
38,1401.0,135.0,19.0,19.0,0.0135617416131334,1.0,0.1407407407407407,0,top_third,16.0,train,relu
